"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,TRUE
"2",42.62,120,0.93,10,0.296545454545455,FALSE
"3",37.5,120,0.1,10,0.25,TRUE
"4",37.5,120,0.5,10,0.25,FALSE
"5",34.26,120,0.26,10,0.220545454545455,TRUE
"6",56.21,120,0.93,10,0.420090909090909,FALSE
"7",22.23,120,0.09,10,0.111181818181818,TRUE
"8",32.27,120,0.34,10,0.202454545454545,TRUE
"9",53.99,120,0.77,10,0.399909090909091,TRUE
"10",65.52,120,0.94,10,0.504727272727273,TRUE
