"","outcome.sure","outcome.x","p.x","outcome.y","w.p","choose.sure"
"1",65,120,0.9,10,0.5,FALSE
"2",65,120,0.1,10,0.5,TRUE
"3",65,120,0.5,10,0.5,TRUE
"4",71.47,120,0.74,10,0.558818181818182,TRUE
"5",37.5,120,0.1,10,0.25,TRUE
"6",38.59,120,0.44,10,0.259909090909091,TRUE
"7",88.91,120,0.93,10,0.717363636363636,FALSE
"8",43.93,120,0.62,10,0.308454545454545,TRUE
"9",93.46,120,0.91,10,0.758727272727273,TRUE
"10",19.7,120,0.1,10,0.0881818181818182,TRUE
"11",23.73,120,0.44,10,0.124818181818182,FALSE
"12",18.73,120,0.24,10,0.0793636363636364,TRUE
